220, 22
236, 22
253, 29
271, 29
290, 32
311, 39
334, 47
357, 47
383, 63
411, 83
440, 83
472, 109
506, 109
542, 109
581, 123
623, 155
668, 202
715, 218
767, 245
822, 289
881, 328
944, 350
1012, 352
1085, 429
1163, 479
1246, 506
1336, 517
1431, 611
1534, 694
1644, 807
1762, 846
1889, 880
2025, 1024
2170, 1115
2326, 1208
2493, 1357
2672, 1483
2863, 1546
3069, 1605
3289, 1712
3525, 1720
3778, 1814
4050, 2014
4340, 2177
4652, 2360
4986, 2534
5344, 2656
5727, 2996
6138, 3066
6579, 3290
7051, 3637
7557, 3856
8100, 4042
8681, 4326
9304, 4521
9972, 4622
10688, 4927
11455, 5055
12277, 5279
13158, 5361
14103, 5621
15115, 6008
16200, 6038
17362, 6312
18609, 6512
19944, 6655
21376, 6847
22910, 7267
24554, 7497
26317, 7785
28206, 8123
30230, 8796
32400, 9062
34725, 9168
37218, 9612
39889, 9803
42752, 9833
45820, 9864
49109, 9934
52634, 9934
56412, 9936
60461, 9936
64800, 10000
69451, 10000
74436, 10000
79778, 10000
85504, 10000
91641, 10000
98219, 10000
105269, 10000
112824, 10000
120922, 10000
129601, 10000
138903, 10000
148872, 10000
159557, 10000
171009, 10000
183283, 10000
196438, 10000
210538, 10000
