4, 1
4, 1
4, 1
5, 1
5, 1
6, 1
6, 1
6, 1
7, 36
7, 36
8, 36
9, 36
9, 36
10, 36
11, 55
12, 91
12, 91
13, 111
14, 158
15, 158
17, 185
18, 185
19, 185
20, 185
22, 221
24, 221
25, 221
27, 227
29, 227
31, 265
34, 322
36, 455
39, 455
41, 552
44, 634
48, 669
51, 669
55, 938
59, 938
63, 938
68, 964
72, 1053
78, 1120
83, 1126
89, 1241
96, 1477
103, 1657
110, 1657
118, 1846
126, 1947
136, 1947
145, 2338
156, 3054
167, 3279
179, 3590
192, 3812
206, 4496
221, 4722
236, 5141
253, 5384
272, 5823
291, 5883
312, 6185
335, 6226
359, 6259
384, 6397
412, 8446
442, 8534
473, 8804
507, 8804
544, 8804
583, 9367
625, 9561
670, 9631
718, 9631
769, 9631
825, 9924
884, 9924
947, 9924
1015, 10000
1088, 10000
1166, 10000
1250, 10000
1340, 10000
1436, 10000
1539, 10000
1650, 10000
1768, 10000
1895, 10000
2031, 10000
2177, 10000
2333, 10000
2501, 10000
2680, 10000
2872, 10000
3079, 10000
3300, 10000
3537, 10000
3790, 10000
4063, 10000
