71, 44
76, 50
82, 50
88, 50
94, 59
101, 66
108, 66
116, 78
124, 86
133, 88
143, 90
153, 96
164, 121
176, 121
189, 127
202, 129
217, 129
233, 138
249, 159
267, 167
286, 186
307, 189
329, 217
353, 217
378, 233
405, 266
434, 281
466, 292
499, 292
535, 330
573, 359
615, 403
659, 411
706, 466
757, 504
811, 573
869, 607
932, 681
999, 729
1070, 789
1147, 886
1230, 948
1318, 993
1412, 1025
1514, 1095
1623, 1192
1739, 1229
1864, 1252
1998, 1428
2141, 1549
2295, 1683
2460, 1872
2636, 2198
2825, 2418
3028, 2574
3246, 2712
3479, 2939
3728, 3036
3996, 3102
4283, 3276
4590, 3703
4920, 3980
5273, 4093
5651, 4373
6057, 4518
6492, 4599
6958, 4920
7457, 5135
7993, 5286
8566, 5620
9181, 6086
9840, 6346
10546, 6654
11303, 6930
12115, 7217
12984, 7419
13916, 7678
14915, 7993
15986, 8210
17133, 8675
18363, 8874
19681, 9185
21093, 9273
22607, 9367
24230, 9453
25969, 9738
27833, 9794
29831, 9822
31972, 9827
34267, 9925
36726, 9945
39362, 10000
42187, 10000
45215, 10000
48460, 10000
51939, 10000
55666, 10000
59662, 10000
63944, 10000
68534, 10000
