55, 246
59, 267
63, 279
67, 282
72, 352
78, 352
83, 407
89, 445
96, 508
103, 508
110, 585
118, 643
126, 691
135, 787
145, 795
156, 805
167, 812
179, 886
192, 1105
206, 1105
220, 1315
236, 1407
253, 1459
271, 1503
291, 1634
312, 1667
334, 1832
358, 1897
384, 1939
412, 2265
441, 2301
473, 2565
507, 2718
543, 2942
582, 3210
624, 3541
669, 3598
717, 4113
769, 4692
824, 5223
883, 5499
946, 5942
1014, 6592
1087, 6701
1165, 6826
1249, 7029
1338, 7147
1435, 7222
1538, 7393
1648, 7403
1766, 7408
1893, 7824
2029, 8386
2175, 8578
2331, 9407
2498, 9515
2677, 9557
2870, 9581
3076, 9744
3297, 9797
3533, 9908
3787, 9908
4059, 10000
4350, 10000
4662, 10000
4997, 10000
5355, 10000
5740, 10000
6152, 10000
6594, 10000
7067, 10000
7574, 10000
8118, 10000
8700, 10000
9325, 10000
9994, 10000
10711, 10000
11480, 10000
12304, 10000
13188, 10000
14134, 10000
15149, 10000
16236, 10000
17401, 10000
18650, 10000
19989, 10000
21423, 10000
22961, 10000
24609, 10000
26376, 10000
28269, 10000
30298, 10000
32472, 10000
34803, 10000
37301, 10000
39978, 10000
42847, 10000
45923, 10000
49219, 10000
52752, 10000
