257, 75
276, 87
296, 112
317, 112
340, 129
364, 155
390, 173
418, 180
448, 181
480, 218
515, 252
552, 292
592, 344
634, 406
680, 511
728, 620
781, 742
837, 877
897, 884
961, 954
1030, 1021
1104, 1175
1184, 1335
1269, 1393
1360, 1494
1457, 1725
1562, 2129
1674, 2279
1794, 2366
1923, 2434
2061, 2707
2209, 2818
2368, 3206
2538, 3291
2720, 3438
2915, 3935
3124, 4131
3349, 4318
3589, 4458
3847, 4547
4123, 4720
4419, 4857
4736, 5123
5076, 5491
5440, 5491
5831, 5711
6249, 5786
6698, 5945
7179, 6135
7694, 6299
8246, 6799
8838, 6868
9472, 7082
10152, 7175
10881, 7229
11662, 7275
12499, 7425
13396, 7548
14358, 7579
15388, 7916
16493, 8196
17676, 8314
18945, 8376
20305, 8543
21762, 8543
23324, 8584
24998, 8948
26793, 8948
28716, 9239
30777, 9271
32986, 9271
35353, 9841
37891, 9841
40610, 9841
43525, 10000
46649, 10000
49997, 10000
53586, 10000
57432, 10000
61554, 10000
65972, 10000
70707, 10000
75782, 10000
81221, 10000
87050, 10000
93298, 10000
99995, 10000
107172, 10000
114864, 10000
123108, 10000
131944, 10000
141414, 10000
151564, 10000
162442, 10000
174101, 10000
186597, 10000
199990, 10000
214344, 10000
229728, 10000
246217, 10000
